"Group","Chi_Square","Chi_Lower_CI","Chi_Upper_CI","P_value","P_level"
"none_removed",2.28580392156863,2.11580344147012,2.45580440166714,0.338231311373481,">0.05"
"Hantaviral.diseases",1.96115789473684,1.82122637084883,2.10108941862485,0.365139512256063,">0.05"
"Arboviral.diseases",1.23314285714286,1.13126991618353,1.33501579810218,0.461762721302428,">0.05"
"Leptospirosis",1.83069565217391,1.69323426240928,1.96815704193855,0.373820669953361,">0.05"
"China",3.26548148148148,3.06918798706418,3.46177497589878,0.242384482397842,">0.05"
"India",2.45333333333333,2.28634866999825,2.62031799666842,0.316856075461159,">0.05"
"Iran",1.27413333333333,1.17071621856024,1.37755044810643,0.449697660349648,">0.05"
"Rodents",1.94157575757576,1.79622982449597,2.08692169065555,0.363224229330452,">0.05"
"Mammals..multispecies.",1.55333333333333,1.43050176533531,1.67616490133136,0.422816470042469,">0.05"
"Birds",1.21066666666667,1.10994850530373,1.31138482802961,0.471617109431225,">0.05"
"Virus",1.33815384615385,1.22798441598336,1.44832327632433,0.447347424546089,">0.05"
"Bacteria",2.10614285714286,1.95101750170205,2.26126821258367,0.370986660031973,">0.05"
"Parasite",1.97142857142857,1.82677842206959,2.11607872078755,0.363643357248712,">0.05"
"Pearson.correlation",1.27019047619048,1.15995767907096,1.38042327331,0.457686372999776,">0.05"
"Spearman.rank.correlation",2.16704347826087,2.00692453399375,2.32716242252799,0.342130093095009,">0.05"
"Cross.correlation.analysis",4.32675555555556,4.09662730333709,4.55688380777402,0.161586289262508,">0.05"
"Non.vectored",4.59625,4.38449259609223,4.80800740390777,0.137637713884507,">0.05"
"Vectored",1.008,0.922818643190973,1.09318135680903,0.492821336141215,">0.05"
